              BCC-CSM2-MR     BCC-ESM1      CAMS-CSM1-0     CESM2-WACCM      CESM2        CNRM-CM6-1     CNRM-ESM2-1    CanESM5       E3SM-1-0       EC-Earth3-Veg   EC-Earth3      GFDL-CM4      GFDL-ESM4    GISS-E2-1-G    GISS-E2-1-H  HadGEM3-GC31-LL  IPSL-CM6A-LR    MCM-UA-1-0      MIROC-ES2L       MIROC6     MPI-ESM1-2-HR   MRI-ESM2-0        NESM3      NorESM2-LM     SAM0-UNICON   UKESM1-0-LL
     1           1.02           0.87           1.13           0.98           1.11           1.54           0.89           1.25           1.16           1.23           1.03           1.20           0.98           1.12           1.13           1.14           1.25           1.07           0.87           0.89           1.17           1.13           2.30           1.19           0.87           1.59
     2           1.61           1.53           1.75           1.62           1.96           2.22           1.43           2.19           2.11           2.06           1.66           2.23           1.70           2.03           1.83           1.97           2.12           1.62           1.67           1.56           1.78           1.77           3.22           1.90           1.82           2.12
     3           2.05           1.93           1.94           2.05           2.52           2.82           1.94           2.65           2.56           2.50           2.14           2.77           2.14           2.41           1.97           2.48           2.57           1.99           2.12           2.04           2.23           2.12           3.78           2.27           2.24           2.48
     4           2.17           2.27           2.40           2.53           2.92           3.26           2.53           3.08           2.95           2.90           2.75           2.87           2.30           2.60           2.31           2.84           2.99           2.39           2.09           2.42           2.54           2.17           4.01           2.82           2.73           3.00
     5           2.38           2.54           2.70           2.92           3.20           3.59           2.70           3.36           3.04           3.12           2.95           2.95           2.67           2.59           2.76           3.18           3.21           2.77           2.24           2.76           2.85           2.47           4.27           2.97           2.97           3.48
     6           2.61           2.67           2.57           3.24           3.52           3.79           2.80           3.78           3.35           3.46           3.14           3.43           2.70           2.76           2.97           3.59           3.45           3.06           2.58           2.72           2.89           2.80           4.43           2.89           3.22           3.63
     7           2.77           2.89           2.74           3.45           3.72           3.82           3.16           3.84           3.51           3.74           3.62           3.59           2.76           3.25           3.06           3.78           3.57           3.30           2.97           2.54           3.00           2.89           4.64           3.15           3.48           3.62
     8           2.89           2.98           2.84           3.61           4.04           4.05           3.39           3.93           3.99           3.67           3.57           3.58           2.85           3.28           3.02           3.94           3.66           3.20           2.95           2.62           3.15           2.91           4.53           3.33           3.68           3.84
     9           2.97           3.13           2.94           3.76           4.04           4.22           3.43           4.23           4.23           3.93           3.63           3.87           3.01           3.22           3.04           4.23           3.90           3.20           2.66           3.08           3.22           3.08           4.70           3.04           3.88           4.24
    10           3.07           3.24           3.02           3.78           4.20           4.18           3.67           4.47           4.58           4.13           3.78           3.99           3.29           3.40           3.31           4.35           3.89           3.46           2.80           3.21           3.27           3.22           4.72           3.11           4.02           4.43
    11           3.12           3.36           3.06           3.92           4.25           4.38           3.83           4.57           4.71           4.04           4.02           3.76           3.25           3.35           3.61           4.35           4.07           3.60           3.11           2.91           3.46           3.33           4.75           3.16           3.93           4.48
    12           3.13           3.34           3.17           4.03           4.38           4.54           3.97           4.77           4.97           4.17           4.12           4.02           3.20           3.24           3.30           4.49           4.27           3.61           3.47           2.90           3.41           3.28           5.06           3.08           4.23           4.46
    13           3.29           3.45           3.01           4.10           4.39           4.63           4.13           5.07           5.12           4.45           4.04           4.22           3.36           3.52           3.33           4.60           4.46           3.89           3.38           2.95           3.45           3.39           5.03           3.39           4.29           4.74
    14           3.40           3.52           3.26           4.24           4.52           4.71           4.22           5.08           5.33           4.63           4.27           4.14           3.47           3.64           3.62           4.80           4.46           3.98           3.43           3.41           3.48           3.45           5.11           3.52           4.18           4.96
    15           3.57           3.47           3.22           4.17           4.66           4.44           4.43           5.22           5.23           4.45           4.41           3.96           3.43           3.64           3.61           5.08           4.62           3.97           3.46           3.30           3.56           3.37           5.27           3.39           4.31           5.05
    16           3.53           3.44           3.38           4.27           4.72           4.67           4.38           5.24           5.46           4.38           4.09           4.04           3.35           3.72           3.48           4.85           4.86           3.81           3.55           3.14           3.62           3.49           5.20           3.42           4.34           5.01
    17           3.58           3.40           3.44           4.30           4.83           5.10           4.45           5.44           5.73           4.60           4.18           4.02           3.61           3.67           3.67           4.93           4.71           3.92           3.41           3.04           3.54           3.80           5.21           3.37           4.35           5.11
    18           3.67           3.52           3.26           4.13           4.91           4.84           4.38           5.66           5.75           4.82           4.49           4.02           3.51           3.48           3.94           5.18           4.77           3.98           3.32           3.20           3.44           3.72           5.28           3.19           4.16           5.17
    19           3.66           3.54           3.45           4.40           5.06           4.92           4.54           5.50           5.99           4.82           4.53           4.34           3.51           3.67           3.84           5.41           4.95           4.05           3.57           3.49           3.40           3.52           5.43           3.22           4.27           5.19
    20           3.59           3.57           3.44           4.54           5.11           5.14           4.61           5.52           5.92           4.81           4.63           4.36           3.44           3.66           3.79           5.28           5.27           4.10           3.62           3.61           3.67           3.56           5.27           3.67           4.40           5.29
    21           3.56           3.62           3.47           4.51           5.12           5.21           4.75           5.56           5.92           4.90           4.80           4.32           3.62           3.46           3.87           5.17           5.33           4.22           3.43           3.16           3.66           3.75           5.52           3.46           4.59           5.35
