                      F4x    lambda       ECS
BCC-CSM2-MR          6.14     -1.01      3.06
BCC-ESM1             6.06     -0.92      3.28
CAMS-CSM1-0          8.17     -1.79      2.28
CESM2-WACCM          6.55     -0.69      4.75
CESM2                6.77     -0.66      5.16
CNRM-CM6-1           7.45     -0.77      4.83
CNRM-ESM2-1          5.98     -0.63      4.76
CanESM5              7.40     -0.66      5.62
E3SM-1-0             6.74     -0.64      5.31
EC-Earth3-Veg        6.82     -0.79      4.31
EC-Earth3            6.39     -0.76      4.20
GFDL-CM4             6.53     -0.84      3.87
GFDL-ESM4            6.97     -1.28      2.72
GISS-E2-1-G          7.84     -1.44      2.72
GISS-E2-1-H          7.08     -1.14      3.11
HadGEM3-GC31-LL      6.97     -0.63      5.55
IPSL-CM6A-LR         6.85     -0.75      4.55
MCM-UA-1-0           7.58     -1.04      3.64
MIROC-ES2L           8.11     -1.51      2.68
MIROC6               7.27     -1.39      2.61
MPI-ESM1-2-HR        7.31     -1.23      2.98
MRI-ESM2-0           6.81     -1.08      3.15
NESM3                7.80     -0.84      4.67
NorESM2-LM           7.00     -1.38      2.54
SAM0-UNICON          8.01     -1.10      3.64
UKESM1-0-LL          7.25     -0.68      5.34
