                      TCR      T140     ratio
BCC-CSM2-MR          1.73      4.14      2.39
BCC-ESM1             1.78      4.36      2.45
CAMS-CSM1-0          1.69      3.76      2.23
CESM2-WACCM          2.00      5.10      2.55
CESM2                2.07      5.15      2.48
CNRM-CM6-1           2.13      5.76      2.70
CNRM-ESM2-1          1.84      5.44      2.95
CanESM5              2.74      6.60      2.41
E3SM-1-0             3.06      7.33      2.40
EC-Earth3-Veg        2.61      6.06      2.32
GFDL-CM4             2.06      5.05      2.46
GFDL-ESM4            1.57      3.84      2.45
GISS-E2-1-G          1.73      2.03      1.17
GISS-E2-1-H          1.92      4.35      2.26
HadGEM3-GC31-LL      2.55      6.62      2.59
IPSL-CM6A-LR         2.29      5.94      2.59
MCM-UA-1-0           1.93      4.54      2.35
MIROC-ES2L           1.55      3.72      2.39
MIROC6               1.55      3.70      2.38
MPI-ESM1-2-HR        1.66      4.21      2.54
MRI-ESM2-0           1.64      3.84      2.34
NESM3                2.74      6.22      2.27
NorCPM1-LM           1.56      3.87      2.48
NorESM2-LM           1.48      3.47      2.35
SAM0-UNICON          2.17      4.63      2.14
UKESM1-0-LL          2.79      6.60      2.37
