                    tau_f     tau_s     gamma         C       C_O       a_f       a_s
BCC-CSM2-MR          4.27    168.73      0.72      7.55     69.77      0.56      0.44
BCC-ESM1             4.83    224.21      0.63      7.62     82.84      0.57      0.43
CAMS-CSM1-0          3.75    125.81      0.61      9.09     56.64      0.73      0.27
CESM2-WACCM          4.25    207.87      0.85      6.73     77.15      0.42      0.58
CESM2                4.18    185.53      0.79      6.23     64.75      0.43      0.57
CNRM-CM6-1           5.23    377.15      0.56      7.00    120.44      0.57      0.43
CNRM-ESM2-1          6.33    335.21      0.59      7.88    100.34      0.50      0.50
CanESM5              6.18    262.23      0.55      7.66     77.32      0.52      0.48
E3SM-1-0             7.07    164.75      0.42      7.69     40.24      0.57      0.43
EC-Earth3-Veg        5.11    119.81      0.54      6.99     37.10      0.56      0.44
EC-Earth3            5.26    118.09      0.57      7.25     36.94      0.53      0.47
GFDL-CM4             3.56    213.90      0.69      5.53     79.93      0.53      0.47
GFDL-ESM4            4.14    278.74      0.64      8.00    117.61      0.66      0.34
GISS-E2-1-G          2.68    259.00      0.87      6.23    139.85      0.61      0.39
GISS-E2-1-H          4.43    188.51      0.68      8.17     78.85      0.61      0.39
HadGEM3-GC31-LL      6.34    260.17      0.54      7.57     73.89      0.52      0.48
IPSL-CM6A-LR         5.85    188.56      0.49      7.41     54.78      0.58      0.42
MCM-UA-1-0           5.14    346.86      0.70      9.05    143.76      0.59      0.41
MIROC-ES2L           5.10    499.41      0.64     11.00    222.95      0.70      0.30
MIROC6               4.04    343.50      0.68      8.43    156.38      0.66      0.34
MPI-ESM1-2-HR        3.66    164.86      0.77      7.43     77.10      0.60      0.40
MRI-ESM2-0           2.95    169.08      1.05      6.39     88.28      0.49      0.51
NESM3                4.23    355.23      0.47      5.59    106.63      0.63      0.37
NorESM2-LM           1.62    167.77      1.08      4.02    100.94      0.55      0.45
SAM0-UNICON          3.39    206.02      0.89      6.85    100.13      0.54      0.46
UKESM1-0-LL          5.86    247.77      0.56      7.42     74.62      0.53      0.47
